Text,agg_Label,Cluster,Predicted Sentiment,Real Sentiment
one final two go wish luck great effort,0,Cluster 1,Negative,Positive
think would die played pushit missed came last time isis toured,0,Cluster 1,Negative,Positive
love americana movies see,0,Cluster 1,Negative,Positive
offer like,0,Cluster 1,Negative,Positive
sad broke superawesome giant paper clip using italy notes,0,Cluster 1,Negative,Neutral
going french anyone want pick,0,Cluster 1,Negative,Neutral
goodnight loveee attend extra classes school tmrw urgh,0,Cluster 1,Negative,Neutral
cool photo outside place,0,Cluster 1,Negative,Neutral
realization today made sad least healing begin,0,Cluster 1,Negative,Neutral
omg rat ewwwww omg cant wait tha marra ecxcited annabel cant go tho,0,Cluster 1,Negative,Neutral
good morning,0,Cluster 1,Negative,Positive
ahhhh cant find anything way much open,0,Cluster 1,Negative,Neutral
listening metal shop mooneys good,0,Cluster 1,Negative,Neutral
work booo,0,Cluster 1,Negative,Neutral
enjoying view sg flyer,0,Cluster 1,Negative,Positive
computer killed combo mirrors edge really poor win thermal managementc gpu one sad game,0,Cluster 1,Negative,Positive
succesful cancertown launch yesterday,0,Cluster 1,Negative,Neutral
goodmorningnight sleep well,0,Cluster 1,Negative,Positive
slovakian country side refreshing change compared tarmac cars city boy need tarmac,0,Cluster 1,Negative,Neutral
entering twitter lurk mode time lock keyboard poured whiskey,0,Cluster 1,Negative,Neutral
ok saw u joey thought u looked interesting like things sanctuarysunday,0,Cluster 1,Negative,Positive
youre fine trying kill bots retweets bid least popular person twitter btw,0,Cluster 1,Negative,Neutral
change hairstylebut isnt good supposed n dont wealth much money hate hairdresser,0,Cluster 1,Negative,Negative
mahalo great show aloha thx makin kauai enjoyed safe trip,0,Cluster 1,Negative,Positive
see theres used organ shop let know sign ejammingcom rock,0,Cluster 1,Negative,Neutral
omg mms pantry calling name ive ignoring day driving completely insane many calories,0,Cluster 1,Negative,Neutral
yeahhhhhhhhhhhhh fridayand work tomorrow,0,Cluster 1,Negative,Neutral
bet great bags cant wait,0,Cluster 1,Negative,Positive
site first date macris deli closed lunching favorite local greek spot trojan horse instead,0,Cluster 1,Negative,Neutral
slammed finger car dor fml ow,0,Cluster 1,Negative,Neutral
gets get tommorow collect money relay life yay want get,0,Cluster 1,Negative,Neutral
going home ive seriously enough,0,Cluster 1,Negative,Neutral
wong,0,Cluster 1,Negative,Neutral
aint invite,0,Cluster 1,Negative,Negative
hold youve got,0,Cluster 1,Negative,Neutral
oh cool coming berlin,0,Cluster 1,Negative,Neutral
joke long tweet,0,Cluster 1,Negative,Positive
never eat broadway pizza feelin ill,0,Cluster 1,Negative,Neutral
cant stop listening new single paranoid amazing love,0,Cluster 1,Negative,Positive
legs sun burned,0,Cluster 1,Negative,Neutral
turn bird sounds like twitterena check settings home page,0,Cluster 1,Negative,Neutral
noooo fb good meespecially love conversation,0,Cluster 1,Negative,Positive
cochran hi corey saw reply pm long night coming,0,Cluster 1,Negative,Neutral
hehei bet never looked back weeks long school trip,0,Cluster 1,Negative,Neutral
swimming tanning heaven blasted music tanning world,0,Cluster 1,Negative,Neutral
ohhh rather bored friday night soo boring,0,Cluster 1,Negative,Neutral
dlukasrossi lukas amazing wife updates locked hard convince people follow protected profiles,0,Cluster 1,Negative,Positive
eat hot link torta,0,Cluster 1,Negative,Neutral
installed new modem meant run times faster old one slower hell gah slow internet kills,0,Cluster 1,Negative,Neutral
im sure part youre replying lol bb starts soon,0,Cluster 1,Negative,Neutral
think lucky also broke fingers school window sash broke fingers like pancakes sill,0,Cluster 1,Negative,Positive
wow hope gets better cancer gtfo,0,Cluster 1,Negative,Positive
get tonight httpbitlyqxxhi bridesmaids moms bride rockin reception,0,Cluster 1,Negative,Neutral
parking meter computed plus got jipped free minute button didnt work,0,Cluster 1,Negative,Neutral
eating wich yumm dont think ive since season ended,0,Cluster 1,Negative,Neutral
hes bed sick heavy fever went drs part reason im watching aladdin still havent fed,0,Cluster 1,Negative,Neutral
u smell goodness around energy big city pinch butt feel real yes u chicago,0,Cluster 1,Negative,Neutral
taking back horrible shoes mum made get urgggh nasty footwear problem cant find shoes,0,Cluster 1,Negative,Neutral
already back shopping nice monday roast,0,Cluster 1,Negative,Neutral
im going till wednesday,0,Cluster 1,Negative,Neutral
ill stop bit im rush rehearsal quiet tonight,0,Cluster 1,Negative,Neutral
aye want cheesecake,0,Cluster 1,Negative,Neutral
asks thnx griting take care god bless httpplurkcomprqo,0,Cluster 1,Negative,Positive
hey rocstar,0,Cluster 1,Negative,Neutral
ontd god,0,Cluster 1,Negative,Positive
none yea last weekend crazy think partied hard thats im sic,0,Cluster 1,Negative,Neutral
doesnt get see fav today like planned,0,Cluster 1,Negative,Neutral
im soooo loney,0,Cluster 1,Negative,Neutral
hungry sub,0,Cluster 1,Negative,Neutral
hoping left bb home didnt lose metro,0,Cluster 1,Negative,Positive
hell ross hugh laurie supposed tonights show,0,Cluster 1,Negative,Neutral
ummmnnn ummmnnn good thanks letting know earlier ate already,0,Cluster 1,Negative,Neutral
got told got good chance gettin job excited omgggg come back want,0,Cluster 1,Negative,Positive
right folks really must go babysit nephew morning another early start twilight time nare mind nightall x,0,Cluster 1,Negative,Neutral
im sick stupid guys moment u make believe suck get back reality,0,Cluster 1,Negative,Negative
wish could want stay play u guys enjoy block party,0,Cluster 1,Negative,Positive
saddened husker accessno internet,0,Cluster 1,Negative,Negative
oh forgot eat grumble grumble,0,Cluster 1,Negative,Neutral
may human kindness day,0,Cluster 1,Negative,Neutral
kinda pissed really wanted go see drag hell christina garrit work till im go httpznlmeoswgh,0,Cluster 1,Negative,Neutral
awwyoure softyi imagine mess tears weddingyou wont even able talk,0,Cluster 1,Negative,Neutral
im jealous pouring right,0,Cluster 1,Negative,Negative
sickkkkk get house need get active whats going celina havin party hit uhpp,0,Cluster 1,Negative,Neutral
myhouse girls tonight,0,Cluster 1,Negative,Neutral
happy star wars day,0,Cluster 1,Negative,Positive
away cinema tweet later may th x,0,Cluster 1,Negative,Neutral
finally went found songs sang church wellington online easier expected yay google fb,0,Cluster 1,Negative,Neutral
ahhhh pic,0,Cluster 1,Negative,Neutral
first fail cant tweet phone oh love work phone,0,Cluster 1,Negative,Positive
says new layout back default plurk themes yay pero dumugo ilong ko kakatweak sa font ha httpplurkcomprprmr,0,Cluster 1,Negative,Neutral
nj oh im joined twitter days ago,0,Cluster 1,Negative,Neutral
fine like week wont load,0,Cluster 1,Negative,Positive
thanks lot youre kind got back nice drive fun car drive nice day,0,Cluster 1,Negative,Positive
ahhhlilys new kitten took giant wet stinky,0,Cluster 1,Negative,Neutral
said nose,0,Cluster 1,Negative,Neutral
wishes teased movie night,0,Cluster 1,Negative,Positive
year cant catch wont ny till oct httpbitlyafjt,0,Cluster 1,Negative,Neutral
stomach killing cant sleep,0,Cluster 1,Negative,Negative
agreed,0,Cluster 1,Negative,Positive
reeses pieces ily,0,Cluster 1,Negative,Positive
best way start day,0,Cluster 1,Negative,Positive
ate way many chocolate animal crackers,0,Cluster 1,Negative,Neutral
oh tnx following cass,0,Cluster 1,Negative,Neutral
dont know,0,Cluster 1,Negative,Neutral
problem isnt miss cause dont,0,Cluster 1,Negative,Positive
omg taylor selena broke sooo sad aw think actually like selena poor gal,0,Cluster 1,Negative,Positive
ten update away whooo hoooo budden,0,Cluster 1,Negative,Neutral
attack thanks dude,0,Cluster 1,Negative,Positive
last friday today,0,Cluster 1,Negative,Neutral
taylor swift joe jonas looked really good together im kinda sad broke,0,Cluster 1,Negative,Positive
sweetie,0,Cluster 1,Negative,Positive
kimbalicious milk drink think thats whats making feel sick,0,Cluster 1,Negative,Neutral
mom says get new phone immediatelyoff tmobile paying,0,Cluster 1,Negative,Neutral
yooo myyyyye bust im sick tooo shoot long night tonight,0,Cluster 1,Negative,Neutral
freshman site update help,0,Cluster 1,Negative,Neutral
nowhere babe ice come jobs morning sigh,0,Cluster 1,Negative,Neutral
broke girlfriend feeling lonely heartbroken sad times guys n,0,Cluster 1,Negative,Negative
finished sunday cleaning waiting read next chapter kiyosakis book hit cleaner,0,Cluster 1,Negative,Neutral
cant sleep much ask p,0,Cluster 1,Negative,Neutral
gained lbs wish could afford something top ramen job,0,Cluster 1,Negative,Positive
drinking yay,0,Cluster 1,Negative,Positive
sleepyhead looking forward tomorrow love family,0,Cluster 1,Negative,Neutral
alright rawknrollnet live radioorg next hours vivid spring summer music rawk enjoy,0,Cluster 1,Negative,Neutral
omg im sorry anything help,0,Cluster 1,Negative,Positive
xmenwolverine hot say go watch,0,Cluster 1,Negative,Neutral
history,0,Cluster 1,Negative,Neutral
lol trialingfor part florida trials come screeching halt summer fun weekend,0,Cluster 1,Negative,Neutral
cleaning roooooooooom continue playing dsi,0,Cluster 1,Negative,Neutral
looking show turn brain mush doesnt hurt anymore good free online ones know,0,Cluster 1,Negative,Neutral
gooooooodmorning world god bless great day,0,Cluster 1,Negative,Positive
think x confusing cant believe many peeps know heart,0,Cluster 1,Negative,Neutral
thanks glad agree wth follow policy,0,Cluster 1,Negative,Positive
wish,0,Cluster 1,Negative,Positive
im unhappy hate affecting everything relationships people personality attitude,0,Cluster 1,Negative,Neutral
ipod headphones gone kaput wanted buy new ones buy bose instead work apple,0,Cluster 1,Negative,Neutral
e first time get see gtvs e coverage since comcast moved g channel basic cable premium,0,Cluster 1,Negative,Neutral
bus goin work omg seriously im sooooo tired dont know ill survive hour shift,0,Cluster 1,Negative,Neutral
boy going movie wish didnt feel like,0,Cluster 1,Negative,Neutral
didnt get qdoba today sad,0,Cluster 1,Negative,Neutral
ahhmy stomach hurts,0,Cluster 1,Negative,Negative
xo wicked time leaving come cant stay night,0,Cluster 1,Negative,Neutral
nope wasnt home went soon,0,Cluster 1,Negative,Neutral
lol current mp player brick would nice something slim,0,Cluster 1,Negative,Neutral
hi im jonathan spotify month u cn unlimited music w interuptions luv r little chats j dont leave,0,Cluster 1,Negative,Neutral
lol fine go,0,Cluster 1,Negative,Positive
omg hair salon tears hope get soon watching real house wives nyc,0,Cluster 1,Negative,Neutral
thanks hoping allergies nasty flu,0,Cluster 1,Negative,Positive
love music video belong taylor,0,Cluster 1,Negative,Positive
httptwitpiccomuc lend one cold,0,Cluster 1,Negative,Neutral
got appt w doctor pm today look bites hoping isnt infection need powerful antiitch cream,0,Cluster 1,Negative,Neutral
finally bed must say quite evening im ready tackle work week see next weekend store,0,Cluster 1,Negative,Neutral
true cause dirty thoughts lol well also dude huh xoxo,0,Cluster 1,Negative,Positive
maybe u get coffee machine new desk seems appropriate,0,Cluster 1,Negative,Neutral
going without,0,Cluster 1,Negative,Neutral
concur httptrimkmvl people cant wait dont stop making vas clouds become commodity crosscloud,0,Cluster 1,Negative,Neutral
helloooo star wars day cool lool wen go cnaterbury x,0,Cluster 1,Negative,Neutral
bad dont combine fx nice like windows x better vista far vista win reborn,0,Cluster 1,Negative,Positive
btw hey ppl lol tgif hopefully ur day gr mine aight feeling like kinda sux got plans wknd,0,Cluster 1,Negative,Positive
tapitewwhllyar tkhprmp rtahxefkt please reply win thanks,0,Cluster 1,Negative,Positive
taking local art,0,Cluster 1,Negative,Neutral
new photo im hungrygetting computer,0,Cluster 1,Negative,Neutral
well least good taste artcabinet apptsnot much,0,Cluster 1,Negative,Neutral
got home school wake friends father tired,0,Cluster 1,Negative,Positive
id love havent takers yet,0,Cluster 1,Negative,Positive
right heredont worry,0,Cluster 1,Negative,Negative
weekend great saw rest twilight tonight also read fininsh break know could,0,Cluster 1,Negative,Neutral
wanted say best screen name ever,0,Cluster 1,Negative,Neutral
wasnt sad good,0,Cluster 1,Negative,Positive
sleep im super duper duper excited pour la paris love city,0,Cluster 1,Negative,Positive
im days late happy birthday hahahaha,0,Cluster 1,Negative,Neutral
ill help pay reactivation,0,Cluster 1,Negative,Negative
one week till exam block,0,Cluster 1,Negative,Neutral
need one follower,0,Cluster 1,Negative,Neutral
hiii im ipodi cant fall asleep,0,Cluster 1,Negative,Neutral
birthday chicken httpbitlywhbuv,0,Cluster 1,Negative,Neutral
haha know need new car oh ps got speeding ticket,0,Cluster 1,Negative,Neutral
sad dead,0,Cluster 1,Negative,Negative
dont cry see u tomorrow muah,0,Cluster 1,Negative,Positive
chocolate peanut butter one favorite combonations,0,Cluster 1,Negative,Neutral
glass cold water meditate bit,0,Cluster 1,Negative,Neutral
minutes never class kinda sad cause class fun,0,Cluster 1,Negative,Neutral
hmph nowhere near effective mins ago wonder coincidence followers please report ur findings,0,Cluster 1,Negative,Neutral
back vet isnt good,0,Cluster 1,Negative,Neutral
great time last night eye burning hurts bad,0,Cluster 1,Negative,Positive
honour starwarsday fired new hope dvd player full thx glory,0,Cluster 1,Negative,Positive
well sadly live boring city usa nothing,0,Cluster 1,Negative,Positive
need hot green tea cant sleep,0,Cluster 1,Negative,Neutral
salt vinegar,0,Cluster 1,Negative,Neutral
cant direct message free lunch,0,Cluster 1,Negative,Neutral
sorry got behind followers still catching follow folks including,0,Cluster 1,Negative,Neutral
bf go dads week end full days bordom,0,Cluster 1,Negative,Neutral
im new french girl twitter speak english bad,0,Cluster 1,Negative,Neutral
yeah explained everything,0,Cluster 1,Negative,Positive
waaa,0,Cluster 1,Negative,Neutral
hasnt called im blown yet,0,Cluster 1,Negative,Neutral
went limit actions per hour twitter clients hate limit,0,Cluster 1,Negative,Neutral
need break pfff work sucksss myrtle beach sc days things like make soooo happy woeiwoeiwoei,0,Cluster 1,Negative,Neutral
sunburnt gutted hope faded tmw,0,Cluster 1,Negative,Neutral
good morning thank retweet great day,0,Cluster 1,Negative,Positive
today salute mothers honour feminineand time beer,0,Cluster 1,Negative,Neutral
thanks joeman,0,Cluster 1,Negative,Positive
hawt hmm interesting choice,0,Cluster 1,Negative,Neutral
puppy gizmo hs haha still growls always look back long pruple scar fingie,0,Cluster 1,Negative,Neutral
making mashed potatoes vegies go tbone steak gets home,0,Cluster 1,Negative,Neutral
lol dont rub,0,Cluster 1,Negative,Positive
surfs week starting afternoon,0,Cluster 1,Negative,Neutral
awe work bbq moi weekend,0,Cluster 1,Negative,Neutral
one day hair weather sucks sun,0,Cluster 1,Negative,Neutral
didnt get job keep applying schooli want teach,0,Cluster 1,Negative,Neutral
make long day shorti nothing well friends left drinking since smashed,0,Cluster 1,Negative,Neutral
thanks much love fanmail talk us anytime,0,Cluster 1,Negative,Positive
wgn chicago used calm airing ideas last days changed programing soundbite shouting,0,Cluster 1,Negative,Neutral
thats dope stay trouble,0,Cluster 1,Negative,Neutral
httptwitpiccombnas oh god youre adorable ilove much inspiration nick,0,Cluster 1,Negative,Positive
awe didnt know cats got skin cancer,0,Cluster 1,Negative,Neutral
lou hahah hopefully enjoy day,0,Cluster 1,Negative,Positive
end working dc gmu short list masters started sys eng program never finished,0,Cluster 1,Negative,Neutral
tati sent emal doll get,0,Cluster 1,Negative,Neutral
boredumsong day caught paramore good deed musical wicked oh fully alive flyleaf,0,Cluster 1,Negative,Positive
hair hurts,0,Cluster 1,Negative,Negative
thinks something okay goodluck ako httpplurkcompxbnl,0,Cluster 1,Negative,Neutral
twistory making yeah stole one,0,Cluster 1,Negative,Neutral
people pisssing offf ugh,0,Cluster 1,Negative,Neutral
seen loads new photos stuff new moon cant wait lol l taylor lautner lol takes shirt times yum lol,0,Cluster 1,Negative,Neutral
soetimes envy spent whole lives one place deep roots grass side syndrome,0,Cluster 1,Negative,Neutral
yeah bit overheating bit ac died,0,Cluster 1,Negative,Positive
ok im lil happier hope fixd emails hope werent hacked although seemed really suspicious,0,Cluster 1,Negative,Positive
awww watching yo britney snl shes young cute really funny miss britney,0,Cluster 1,Negative,Neutral
wedding everyone gone home newlyweds canada finally quiet im late work,0,Cluster 1,Negative,Neutral
work soon lame going miss go lakers hope win,0,Cluster 1,Negative,Positive
looking forward mandarin album hope come singapore,0,Cluster 1,Negative,Neutral
tom u hahahahahahhah hes bff,0,Cluster 1,Negative,Positive
heh thats theme used httpleetbixnet,0,Cluster 1,Negative,Neutral
wahey fancy meeting thanks tweet great twittered together,0,Cluster 1,Negative,Positive
ugh sure patience remaining intelligence point day week refactor rewrite package code,0,Cluster 1,Negative,Neutral
wishing could paulo show fortunately went brasilia one haha,0,Cluster 1,Negative,Neutral
loved comment flashcads im old school,0,Cluster 1,Negative,Neutral
day,0,Cluster 1,Negative,Neutral
cant say havee im james rs yesterdayy im learning quotess,0,Cluster 1,Negative,Neutral
listening music texting umm msn lol bit bored lol garth brooks wooo love hehe,0,Cluster 1,Negative,Positive
im originally seattle ive lived everywhere else including many places south,0,Cluster 1,Negative,Neutral
day new beginning,0,Cluster 1,Negative,Neutral
sounds like fun lol least still hair right weekend,0,Cluster 1,Negative,Positive
still dealing quite bit pain jump soon lay downvery frustrating thanks asking,0,Cluster 1,Negative,Positive
rashid reeeaaaally though ew hate stockings,0,Cluster 1,Negative,Neutral
feel sick,0,Cluster 1,Negative,Negative
nice new profile picture glad see friends,0,Cluster 1,Negative,Positive
mcflyandjb heaven ill go everywhere,0,Cluster 1,Negative,Positive
addicted glee watching video againi,0,Cluster 1,Negative,Positive
sorry disappoint big nascar fan im still allaround decent redneck,0,Cluster 1,Negative,Neutral
may see sun come bits sore today life still grand tomorrow new day sleep well friend,0,Cluster 1,Negative,Neutral
girl buying posting pressie tomorrow clue get im sorry hate,0,Cluster 1,Negative,Neutral
omgsh know im dealing rite fun,0,Cluster 1,Negative,Neutral
hug yep hate meself,0,Cluster 1,Negative,Positive
washer se chingo ha ha im busting grandma lucia waaaaay back early lol,0,Cluster 1,Negative,Neutral
think kirk would probably stolen sweet ride fancy car phone ya talk gg,0,Cluster 1,Negative,Neutral
monday going extremely well expected,0,Cluster 1,Negative,Neutral
good morning looking forward listening prodigy radio big weekend brought album yesterday p amaize tbqh x,0,Cluster 1,Negative,Neutral
em,0,Cluster 1,Negative,Neutral
venessa,0,Cluster 1,Negative,Neutral
miss need talk keep screwing lovee u,0,Cluster 1,Negative,Neutral
grandpa telling used cut human bodies med school,0,Cluster 1,Negative,Neutral
httptwitpiccomwi hmm thats bu tour listbut thats cool say,0,Cluster 1,Negative,Neutral
hair cut looks like,0,Cluster 1,Negative,Positive
rt barcampbkk entertainment night bring favourite mps way enjoy music together,0,Cluster 1,Negative,Neutral
trying figure personalize downloaded wordpress blog easy hoping suggestions,0,Cluster 1,Negative,Neutral
geronimo thanks sharing friends,0,Cluster 1,Negative,Positive
know im excited cant go earlierrr afternoon love tooz,0,Cluster 1,Negative,Neutral
city person want trade n live country house comes w racoons n skunks livin deck sigh,0,Cluster 1,Negative,Neutral
time clean,0,Cluster 1,Negative,Positive
going work nightshift,0,Cluster 1,Negative,Neutral
nans house eating fish chips watching top gear good times,0,Cluster 1,Negative,Neutral
today abo going two years best two years ever,0,Cluster 1,Negative,Neutral
dont get call moms tomorrowmothers day,0,Cluster 1,Negative,Neutral
ok couple things made us late stuff got lot fun,0,Cluster 1,Negative,Neutral
good luck final,0,Cluster 1,Negative,Positive
word yer mother,0,Cluster 1,Negative,Neutral
haha well kinda im mommy lil pomchi hehe thank,0,Cluster 1,Negative,Positive
redirect energy creating mens jewelry frequent walks,0,Cluster 1,Negative,Neutral
cool used live houses left place always something going p,0,Cluster 1,Negative,Neutral
thanks elephants look magnificent miss due stupid restrictions g pleease cheap,0,Cluster 1,Negative,Positive
well x spammers watchin,0,Cluster 1,Negative,Positive
download failed phone like phone,0,Cluster 1,Negative,Positive
wish get least daysoff row day enough rest days day days day offugh,0,Cluster 1,Negative,Neutral
sitting empty yearbook room attempting figure asap lol,0,Cluster 1,Negative,Neutral
going bed talk ya later goodnight birdies lol,0,Cluster 1,Negative,Neutral
came back hanging friends cocktails im drunk feeling good hope everyones well,0,Cluster 1,Negative,Positive
dear mikey robins nah youve heard,0,Cluster 1,Negative,Neutral
tgif also sad last day get work favorite tv reporter,0,Cluster 1,Negative,Positive
doin crocodile rock,0,Cluster 1,Negative,Neutral
httpblipfmjbp,0,Cluster 1,Negative,Neutral
know,0,Cluster 1,Negative,Neutral
awesome fortune cookie think really go exotic places hope well,0,Cluster 1,Negative,Positive
iis working really wants geordanos thin crust cheese black olives peperoni mushroom pizza,0,Cluster 1,Negative,Neutral
im miserable boredom,0,Cluster 1,Negative,Negative
thundered reallyreally loud work little boy started crying wanted cry tooi hate storms wah,0,Cluster 1,Negative,Neutral
wishing go place brandwkshop httptrimmoxl see theyve got scott bedbury poor,0,Cluster 1,Negative,Neutral
cath couple years knew one couldnt find awhilehere,0,Cluster 1,Negative,Neutral
umm yeah thats probably pretty good note self eeeeeewwwwwwww,0,Cluster 1,Negative,Positive
im cold still cant find hoodie,0,Cluster 1,Negative,Neutral
haha thought,0,Cluster 1,Negative,Positive
haha better drunken tweeting mean,0,Cluster 1,Negative,Positive
esp twitter access party never stops even nite cuz always daylight somewhere around world,0,Cluster 1,Negative,Neutral
thats moan day,0,Cluster 1,Negative,Neutral
queue cake standing slight look deranged anticipation face,0,Cluster 1,Negative,Neutral
happy birthday keshia keshia bo beshia,0,Cluster 1,Negative,Neutral
yaaay u cleaning ur room said hi u day u didnt write back,0,Cluster 1,Negative,Neutral
miss old ha ha cant tell persons name,0,Cluster 1,Negative,Positive
true well behaved women rarely make history,0,Cluster 1,Negative,Neutral
really nice pic could u imagine thought,0,Cluster 1,Negative,Neutral
online even log habbo,0,Cluster 1,Negative,Neutral
seriously getting hurt days nationals joke,0,Cluster 1,Negative,Positive
living life,0,Cluster 1,Negative,Neutral
funny profiled like wtf im still kinda heated ugh,0,Cluster 1,Negative,Positive
feelin well feel sooooo weaki hate bein sick summer,0,Cluster 1,Negative,Positive
morning joe,0,Cluster 1,Negative,Neutral
misss youhhhhhhh ci tell dem japenese ppl give yu computer sumthinnn ya twit fam misssesss supa c,0,Cluster 1,Negative,Neutral
sorry cant help hopefully rubs,0,Cluster 1,Negative,Negative
one calls anymore,0,Cluster 1,Negative,Neutral
migranes suckespecially kids suddenly hyper,0,Cluster 1,Negative,Neutral
working financial project definitely fun weekend want spend wit baaaby waaaah,0,Cluster 1,Negative,Neutral
brown damnit accidentally put instead followfriday,0,Cluster 1,Negative,Negative
say reeesee cup,0,Cluster 1,Negative,Neutral
rice ready eatoff watch comet important music price germanywow n lisa arrives around pm still hours,0,Cluster 1,Negative,Neutral
tough life lead,0,Cluster 1,Negative,Neutral
havnt gotten months ex seems dating isnt spark anymore still love loser left,0,Cluster 1,Negative,Neutral
hahahha days cool nothings open like isolated haha cool,0,Cluster 1,Negative,Positive
nuggets game everyoneeeee except,0,Cluster 1,Negative,Neutral
jonas second episode aww nick handsome,0,Cluster 1,Negative,Neutral
elaine lol see ya twitts tha time n didnt get one till right lol u never get mines twitta,0,Cluster 1,Negative,Neutral
great shot yesterday editing pics,0,Cluster 1,Negative,Positive
currently watching american idol,0,Cluster 1,Negative,Neutral
southridge moved week later cause swine flu think,0,Cluster 1,Negative,Neutral
sitting parking lotby miss baby couple min til got ta deal im peacin hitting gym,0,Cluster 1,Negative,Neutral
done wow blogging eh huggles,0,Cluster 1,Negative,Neutral
following aisa guys could shifty worth following regardless,0,Cluster 1,Negative,Neutral
busy work today trash cubes vacationing team members,0,Cluster 1,Negative,Neutral
dreamt monsters last night like little girl,0,Cluster 1,Negative,Neutral
lo siento dint enough room,0,Cluster 1,Negative,Neutral
seems exbaristas commonalities ftw,0,Cluster 1,Negative,Neutral
benson raining wish wasnt,0,Cluster 1,Negative,Neutral
love momalwayyyyyyyssssssss,0,Cluster 1,Negative,Positive
got mcdonalds surpisingly popular drunk food option sucks diners arent hrs anymore,0,Cluster 1,Negative,Neutral
waitin dr dee lunch beautiful lady gym yeah need loose,0,Cluster 1,Negative,Positive
sun gone,0,Cluster 1,Negative,Neutral
frat thats bad good show least im hoping esp since bk,0,Cluster 1,Negative,Positive
gosh need rude,0,Cluster 1,Negative,Negative
awe wit snap fingers n nod head ur rain gone lolthxs hit afterwards,0,Cluster 1,Negative,Neutral
ill see yeah guarantee dont want wait long seeing fruit basket hahaha,0,Cluster 1,Negative,Positive
back work go,0,Cluster 1,Negative,Neutral
pooooor baby dog chachi surgery todayyyyy,0,Cluster 1,Negative,Neutral
archie proposes veronica latest archies comic longest known love triangle coming end poor betty,0,Cluster 1,Negative,Neutral
white shoes make cringe white shoes give pause,0,Cluster 1,Negative,Neutral
meant lazy work proves,0,Cluster 1,Negative,Neutral
haha mondo really want send,0,Cluster 1,Negative,Positive
sooo close finishing exams role monday life back,0,Cluster 1,Negative,Neutral
early class blahh hang kiddies,0,Cluster 1,Negative,Neutral
speakerphone bestie love kid httptinyurlcomqxycn,0,Cluster 1,Negative,Positive
sigh still seos submitting client sites part contact information really dont know make read,0,Cluster 1,Negative,Neutral
sad got money phone ahh well lly mitchel,0,Cluster 1,Negative,Neutral
haha sure local youd fight,0,Cluster 1,Negative,Positive
followfriday follow ppl interesting doesnt tweet much though,0,Cluster 1,Negative,Neutral
need find keynote one least know go screencastsonline,0,Cluster 1,Negative,Neutral
wish nicky home,0,Cluster 1,Negative,Positive
gas plus money desperation thats word day httptwitpiccomzls,0,Cluster 1,Negative,Neutral
goodnight,0,Cluster 1,Negative,Neutral
im loving humidity right nowgreat skinanother love wont last,0,Cluster 1,Negative,Positive
ill pc,0,Cluster 1,Negative,Negative
sucks majorlyhhhmmmnnnim thinkingi wouldve said self tanner really good concealerim stuck,0,Cluster 1,Negative,Neutral
dont see,0,Cluster 1,Negative,Neutral
awe thank good morning aswell,0,Cluster 1,Negative,Positive
n end another wise great nite excuse dream little dream,0,Cluster 1,Negative,Positive
probably coooolest thing weve ever done,0,Cluster 1,Negative,Neutral
nichole miss earrings lol let know close,0,Cluster 1,Negative,Neutral
vonabe idea white weird bad,0,Cluster 1,Negative,Negative
good morning world haha fun movies last night school hmm new shoes make better httptinyurlcomdfggwj,0,Cluster 1,Negative,Positive
got back partysuprisingly awesome need dance often overall awesome night,0,Cluster 1,Negative,Positive
understand anything said,0,Cluster 1,Negative,Neutral
depends drinking drinking many mates joke fails,0,Cluster 1,Negative,Neutral
deplurk buhbyeee httpplurkcomprpir,0,Cluster 1,Negative,Neutral
oh forget things see ahah hated creeped,0,Cluster 1,Negative,Negative
lazy sunday late lunchand forget buy prwere page,0,Cluster 1,Negative,Neutral
looking forward show tonight cant wait ol mate,0,Cluster 1,Negative,Neutral
voting closed,0,Cluster 1,Negative,Neutral
fish chips din dins,0,Cluster 1,Negative,Neutral
news flash megaredpacket instant internet empire early bird launch check deal httpmegaredpacketcom,0,Cluster 1,Negative,Neutral
going walk nmme test new hiking equipment telescopic trekking poles boots coolmax socks,0,Cluster 1,Negative,Neutral
yukky rainy friday,0,Cluster 1,Negative,Neutral
prayin dad wellington fl httplooptusfjqgt via live welly may pray f httpbitlylbsn,0,Cluster 1,Negative,Neutral
figuring twitter thing works,0,Cluster 1,Negative,Neutral
going bed thinks twitter way much,0,Cluster 1,Negative,Neutral
ja deze interessanter text messages limited characters httptrimkpgg,0,Cluster 1,Negative,Neutral
google adsense income months payment indian govt happy falling publishers sad,0,Cluster 1,Negative,Positive
best ib exams carl hope dont find difficult go well,0,Cluster 1,Negative,Positive
thanks lady bummer sure,0,Cluster 1,Negative,Positive
ok sweet whenever u want stuck bed weekend,0,Cluster 1,Negative,Positive
work group home,0,Cluster 1,Negative,Neutral
hahaha cartoon mascots go virlcom monster nice details good shadow realistic tonsils,0,Cluster 1,Negative,Positive
miss brother days till gets bac tennessee said singing find way bac tennessee today haha,0,Cluster 1,Negative,Neutral
maybe going apartment shopping ashley,0,Cluster 1,Negative,Neutral
found wont know uni results year th july earliest hate wait,0,Cluster 1,Negative,Neutral
math final wish luck,0,Cluster 1,Negative,Positive
omggg crazy cobras wantewd see london,0,Cluster 1,Negative,Neutral
currently watching supernatural whilst waiting skins come,0,Cluster 1,Negative,Neutral
