text,cleaned_text,agg_labels
got an email from my auntie bout fathers day... mothers day w/seven moms but fathers day will consist of 2 dads    #realitycheck,got email auntie bout fathers day mothers day wseven moms fathers day consist dads realitycheck,1
" ooh a storm, that`s always welcome news  Happy Mothers Day!",ooh storm thats always welcome news happy mothers day,1
Love my mommy happy mothers day,love mommy happy mothers day,1
ofcourse they start fightin aight the party buts its cool theyu held it down now im chillin with my home girl  HAPPY MOTHERS DAY,ofcourse start fightin aight party buts cool theyu held im chillin home girl happy mothers day,1
Happy Mother`s Day Mama bear,happy mothers day mama bear,1
"Happy Mother`s day! Going to cook something, thank goodness there`s tablespotting",happy mothers day going cook something thank goodness theres tablespotting,1
HAPPY MOTHER`S DAY to all of the wonderful women out there.  Have a great and relaxful day.,happy mothers day wonderful women great relaxful day,1
" Oh, and Happy Judd Day haha  #juddday",oh happy judd day haha juddday,1
got it? good. HAPPY MOTHERS DAY!,got good happy mothers day,1
wishes Happy Mother`s Day!,wishes happy mothers day,1
A VERY HAPPY MOTHER`S DAY TO ALL MOTHERS OUT THERE! Mamma Mia - Abba   ? http://blip.fm/~5z5uw,happy mothers day mothers mamma mia abba httpblipfmzuw,1
 mothers day pak...,mothers day pak,1
Goin to bed... Finally. So sleepy! *Happy mothers day!*,goin bed finally sleepy happy mothers day,1
"butterfly fly away- miley ray  , oh & happy mothers day <3 love u mami.",butterfly fly away miley ray oh happy mothers day love u mami,1
This day is fkn UGLY & it matches my mood  unfortunatly. Time 2 blast off 2 the moon,day fkn ugly matches mood unfortunatly time blast moon,1
Happy Mother`s Day  http://bit.ly/LRSnG,happy mothers day httpbitlylrsng,1
Is...Sayin Happy Mother`s Day 2 Everyone!!!!!,issayin happy mothers day everyone,1
HAPPY MOTHERS DAY to everyone lucky enough to be a mommy. extra special happy to  who became a mommy 2day,happy mothers day everyone lucky enough mommy extra special happy became mommy day,1
" Hey Sam, happy mothers day",hey sam happy mothers day,1
yum - mother`s day lunch at The Food Business in Burnside was delicious! such a gorgeous day,yum mothers day lunch food business burnside delicious gorgeous day,1
is having a quiet mothers day evening... happy mothers day to all the yummy mummies,quiet mothers day evening happy mothers day yummy mummies,1
"loves the new Mother`s Day snl digital short, mother lover, oohhhh cornyness",loves new mothers day snl digital short mother lover oohhhh cornyness,1
Happy Mother`s Day! I love my mommy,happy mothers day love mommy,1
  i just want to wish your mom a happy mothers day!,want wish mom happy mothers day,1
http://twitpic.com/4wh0o - My mommys gummy mothers day posterrr!,httptwitpiccomwho mommys gummy mothers day posterrr,1
Just want to wish everyond a Happy Mother`s Day. Hope it`s a great one!,want wish everyond happy mothers day hope great one,1
 Sunday and Mother`s day!,sunday mothers day,1
Happy Mothers Day,happy mothers day,1
 Happy Mother`s Day!  Hugs~,happy mothers day hugs,1
happy mothers day to all motherssss!  <3333,happy mothers day motherssss,1
Happy Mothers day to all the Mom`s on there!!,happy mothers day moms,1
happy mother`s day!  http://bit.ly/6fGxd,happy mothers day httpbitlyfgxd,1
in rye..happy mothers day mums  ily mummy  lol,ryehappy mothers day mums ily mummy lol,1
  holla happy early mother`s day,holla happy early mothers day,1
Looking forward to having Dinner with Family and Friendsss! Happy Mothers Day to all the Moms out there!,looking forward dinner family friendsss happy mothers day moms,1
Happy Mother`s Day to all to all the wonderful moms out there.  -Matalatine,happy mothers day wonderful moms matalatine,1
Happy Mama`s day to all mothers,happy mamas day mothers,1
 Happy mother`s day to Ms. Pat Carey,happy mothers day ms pat carey,1
" Correction: 'facetious' not 'sarcastic.' Apologies.  Oh, and happy Mother`s Day!",correction facetious sarcastic apologies oh happy mothers day,1
#Happy Mother`s Day euch allen,happy mothers day euch allen,1
"Tomorrow is Mother`s Day! What did you get for your moms?! If you don`t have a gift, just tell her that you love her.",tomorrow mothers day get moms dont gift tell love,1
 HAPPY MOTHERS DAY MARK,happy mothers day mark,1
exhausting day. And more to come tomorrow! City for mother`s day!  can`t wait minus the driving.,exhausting day come tomorrow city mothers day cant wait minus driving,1
Happy Mother`s Day to all mothers!,happy mothers day mothers,1
HAPPY MOTHERS DAY MOMMY!!!!,happy mothers day mommy,1
"Happy Mother`s Day to all the Mom`s out there, but especially to my wonderfuly Mommy",happy mothers day moms especially wonderfuly mommy,1
Happy mothers day  I`m so hungry and the resturants are all closed... ****,happy mothers day im hungry resturants closed,1
: Happy Mother`s day to my Mother. Thank you for being such an awesome mother,happy mothers day mother thank awesome mother,1
 It was on March 22nd in UK..today all quiet here regarding mothers day  Very sweet of u to wish though..thanks!,march nd uktoday quiet regarding mothers day sweet u wish thoughthanks,1
  Thank you and Happy Mothers Day to your Mother also SNL tonight,thank happy mothers day mother also snl tonight,1
Happy Mother`s Day! She liked the poem.,happy mothers day liked poem,1
Happy Mothers Day!!,happy mothers day,1
happy almost mother`s day,happy almost mothers day,1
I want to wish HAPPY MOTHER`S DAY to my two favorite moms in the world: My own mom of course  and my sister!!! HAPPY MOM`S DAY TO YOU TWO!,want wish happy mothers day two favorite moms world mom course sister happy moms day two,1
I truly praise God for my mom-the greatest mother in the world  Happy mother`s day to all of the mothers reading this. Enjoy your day!,truly praise god momthe greatest mother world happy mothers day mothers reading enjoy day,1
happy mother`s day to all your mom`s,happy mothers day moms,1
mothers day drama was awesome!,mothers day drama awesome,1
"loves summer! and don`t forget people, tomorrow is mother`s day!",loves summer dont forget people tomorrow mothers day,1
Happy mother`s day all you moms!,happy mothers day moms,1
"Happy mother`s day!!! oh, I love my mom.. hehehe... happy mom`s day!!",happy mothers day oh love mom hehehe happy moms day,1
 Happy mothers day to you beautiful!,happy mothers day beautiful,1
 Happy Mother`s Day hahaha,happy mothers day hahaha,1
Happy mothers day everybody,happy mothers day everybody,1
Happy mother`s day to all moms!,happy mothers day moms,1
Happy Mothers Day!!!!,happy mothers day,1
" MC, happy mother`s day to your mom ;).. love yah",mc happy mothers day mom love yah,1
Happy Mothers Day to all you mom out there,happy mothers day mom,1
haha so bored...but happy mothers day!,haha boredbut happy mothers day,1
  Then Google Vs. Twitter . Mother`s Day Vs. Mothers Day . . Mother`s Day - web1.0 type. Mothers Day is Social Media -web2.0,google vs twitter mothers day vs mothers day mothers day web type mothers day social media web,1
"happy mother`s day, mom  I hope the breakfast was nice.  I love u ?",happy mothers day mom hope breakfast nice love u,1
"Good Night,  Happy Mother`s Day !!",good night happy mothers day,1
 happy early mothers day!!!!,happy early mothers day,1
made breakfast today......Happy mother`s day ..,made breakfast todayhappy mothers day,1
HAPPY MOTHER`S DAY,happy mothers day,1
wishes Happy mother`s day to all mothers!!!,wishes happy mothers day mothers,1
"had a great time celebrating mother`s day  to me, being a mom is the best job on earth!",great time celebrating mothers day mom best job earth,1
Just gave my mommy her Mother`s Day present...a purple ipod  http://twitpic.com/4wcpt,gave mommy mothers day presenta purple ipod httptwitpiccomwcpt,1
 Happy mothers day,happy mothers day,1
says ...tomorrow is another day...  http://plurk.com/p/x1pxh,says tomorrow another day httpplurkcompxpxh,1
Celebrated Mother`s Day with the best lamb roast lunch followed by a box of Cadbury`s shared around the table. It was a wonderful day,celebrated mothers day best lamb roast lunch followed box cadburys shared around table wonderful day,1
Happy mothers day to all the mums!,happy mothers day mums,1
Signing off to spend time with my hubby   Goodnight / day tweeple!   Have a very Happy Mother`s Day!,signing spend time hubby goodnight day tweeple happy mothers day,1
Celebrating mother`s day with apple pie,celebrating mothers day apple pie,1
"Happy mothers day to all the Twitter moms, sent my own mom a very sleepy video by phone and called after.",happy mothers day twitter moms sent mom sleepy video phone called,1
Exhausted after coming home from a swim this morning! It`s more tiring than I remember! HAPPY MOTHERS DAY,exhausted coming home swim morning tiring remember happy mothers day,1
is also wishing these two lovely mothers  &  a very special Mother`s Day!!!  enjoy!,also wishing two lovely mothers special mothers day enjoy,1
HAPPY MOTHERS DAY TO ALL THE MOMMIES,happy mothers day mommies,1
Now I`m off to bed - HAPPY MOTHER`S DAY ALL - HAVE A GREAT ONE,im bed happy mothers day great one,1
Every day is Mother`s Day.... Don`t wait for 1 of 365 days to come around to show your mom how much you appreciate and love her.,every day mothers day dont wait days come around show mom much appreciate love,1
Happy Mother`s Day!  @>--->--->--- A rose for YOU!,happy mothers day rose,1
had a nice mother`s day with mum. she liked her presents. wondering if i`ll ever see some one again. talking to sisa.,nice mothers day mum liked presents wondering ill ever see one talking sisa,1
is wishing all of the mother`s out there a very Happy Mother`s Day!! Love ya!,wishing mothers happy mothers day love ya,1
Happy Mothers Day to all the mums in my life and those that are not,happy mothers day mums life,1
Happy Mother`s Day to all your wonderful moms!,happy mothers day wonderful moms,1
Happy Mother`s Day to all of the woman and the men who made them mothers.,happy mothers day woman men made mothers,1
HaPPy MothErS Day!!! Feliz Dia deLAS MAdres  mine is already in Heaven.. =( Miss you...,happy mothers day feliz dia delas madres mine already heaven miss,1
HAPPY MOTHER`S DAY LADIES!!! Hope you all have a wonderful day.,happy mothers day ladies hope wonderful day,1
migraine and leg pain and woe ): should go to bed but it is 2 flights of stairs away. Happy mother`s day,migraine leg pain woe go bed flights stairs away happy mothers day,1
http://snipurl.com/hq0n1 Just printed my mom an Amazon gift card  for Happy Mothers Day talk about last minute.,httpsnipurlcomhqn printed mom amazon gift card happy mothers day talk last minute,1
HAPPY MOTHER`S DAYYYY!!!,happy mothers dayyyy,1
HAPPY MOTHERS DAY TO ALL THE MOTHERS IN THE WORLD ESPECIALLY THE TWEETER MOMS,happy mothers day mothers world especially tweeter moms,1
happy mothers day,happy mothers day,1
Gave my mommy her Mother`s Day present. Tickets to Aerosmith (her favorite band everr.) Yay for a good reaction.,gave mommy mothers day present tickets aerosmith favorite band everr yay good reaction,1
"might be seeing my god mothers little boy in a bit  . Leon, so cute <3333",might seeing god mothers little boy bit leon cute,1
Another Day gone by....  Have to wake up early again tomorrow,another day gone wake early tomorrow,1
Happy mother`s day to all the mums out there,happy mothers day mums,1
Happy Grey`s day everyone! Oh I miss Grey`s!!,happy greys day everyone oh miss greys,1
happy mothers day to all the baby mommasss! rofl,happy mothers day baby mommasss rofl,1
i am outta here... see you guys later (or tomorrow)... happy mom`s day again!,outta see guys later tomorrow happy moms day,1
"happy mothers day.  oh and no i havent read it yet, will do now",happy mothers day oh havent read yet,1
HAPPY MOTHER`S DAY!,happy mothers day,1
started a great mother`s day season!,started great mothers day season,1
off to pearlyn`s place - gran`s bday + mothers` day dinner tonight!  mom went for adults` svc today!!!  (L) happy mothers` day moms!,pearlyns place grans bday mothers day dinner tonight mom went adults svc today l happy mothers day moms,1
is excited about so R and R for mother`s day,excited r r mothers day,1
taking mum to lunch for mothers day,taking mum lunch mothers day,1
Happy Mother`s Day to all the moms out there! Just finished having lunch with my  relatives. I wuv you mommy and granny.  HAHAHA.,happy mothers day moms finished lunch relatives wuv mommy granny hahaha,1
Sleepy time..   happy mothers day all u momz,sleepy time happy mothers day u momz,1
 Thanks!!!!  Happy Mother`s day to you too!!,thanks happy mothers day,1
"Happy Mother`s Day to all the moms! If you`re an awesome mom, you`ll help #savechuck",happy mothers day moms youre awesome mom youll help savechuck,1
Happy Mothers Day Mum,happy mothers day mum,1
 Goooood Morning Melody! Wishing you a Wonderful Mother`s Day with your family!,goooood morning melody wishing wonderful mothers day family,1
" time diff and i`ve just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs",time diff ive wrapped day day stuff havent tweeting talk soonmust sleepup hrs,1
Happy Mother`s Day to all you moms out there,happy mothers day moms,1
and Happy Mothers Day to All you Moms out there i hope you had a good day,happy mothers day moms hope good day,1
Happy Mother`s day! Sent msg to mom and got her phone call. I wish one day we can live in the same city so I can take care of her.,happy mothers day sent msg mom got phone call wish one day live city take care,1
"Gooooooood morning, campers!  And happy Mother`s Day!",gooooooood morning campers happy mothers day,1
Happy Mother`s Day everyone.,happy mothers day everyone,1
"Had a neat mothers day - nothing flash, just some chillin time with my girls",neat mothers day nothing flash chillin time girls,1
"is back from a very long day out at Naz. Gunna crash. Up tomorrow for Mothers Day... editing photos from today, hangin with my mom, etc.",back long day naz gunna crash tomorrow mothers day editing photos today hangin mom etc,1
 Happy mother`s day to ur mom!!! i hope she has a wonderful day!!!!!,happy mothers day ur mom hope wonderful day,1
Happy Mother`s Day!,happy mothers day,1
Happy Christmas! No wait... What is it again happy M...........easels day. No but seriously.... Happy Mothers day...  lmao,happy christmas wait happy measels day seriously happy mothers day lmao,1
today is going to be a long day,today going long day,1
its mothers day,mothers day,1
   HAPPY MOTHERS DAY!! LOVE YOU GUYS...,happy mothers day love guys,1
making my mom a mothers day card,making mom mothers day card,1
happy mother`s day to your moms,happy mothers day moms,1
" Happy Mother`s Day, Kadi!!",happy mothers day kadi,1
happy mothers day to all the beautful mums.,happy mothers day beautful mums,1
 My pleasure. I can`t be with my mom on Mother`s Day. But I can spread love.,pleasure cant mom mothers day spread love,1
Happy Mother`s Day! Justin Timberlake`s version a mother`s day gift.. http://bit.ly/6fGxd  -- too funny!!!,happy mothers day justin timberlakes version mothers day gift httpbitlyfgxd funny,1
"Happy Mother`s Day!!!  I`m at the beach with my family. It`s a warm, clear night with a beautiful full moon...",happy mothers day im beach family warm clear night beautiful full moon,1
  Happy Mother`s Day to ya tomorrow,happy mothers day ya tomorrow,1
is freaking exhausted...need to go to bed....gotta get up early YUCK....HAPPY MOTHER`S DAY TO ALL YOU MOMMIES OUT THERE,freaking exhaustedneed go bedgotta get early yuckhappy mothers day mommies,1
happy mothers day to all   im off to spend the day with my family,happy mothers day im spend day family,1
"Psalm 82:6 I have said, You are gods; and all of you are children of the most High. Happy Mothers Day Momma",psalm said gods children high happy mothers day momma,1
Happy mother`s day everyone! still playing pet society!,happy mothers day everyone still playing pet society,1
Ahhh mothers day  My first one YAY!!!,ahhh mothers day first one yay,1
" Wishing you a very Happy Mother`s Day, Carina!!  Hugs...Joy",wishing happy mothers day carina hugsjoy,1
 ay uuuu  happy mothers day,ay uuuu happy mothers day,1
happy mothers day. ekin sayang mak!!!,happy mothers day ekin sayang mak,1
hi to all twit friends  happy mother`s day to all the beautiful and amazing mothers out there,hi twit friends happy mothers day beautiful amazing mothers,1
"I`m so excited for Mothers Day!  This has been a big year for me & Olivia, and she`s finally old enough to be excited & understand!",im excited mothers day big year olivia shes finally old enough excited understand,1
felï¿½z dia de madres  | happy mothers day,felz dia de madres happy mothers day,1
Happy mothers dat,happy mothers dat,1
fighting with mum on mothers day,fighting mum mothers day,1
Happy mother`s day ,happy mothers day,1
"Incase I forget, Happy Mother`s Day to all you moms out there, and to my mommy. The very best one in the world",incase forget happy mothers day moms mommy best one world,1
It`s Midnight - I`m outta here.  HAPPY MOTHER`S DAY FELLOW MOMMIES!!!  (And to non-Mommies too).  May EVERYONE have a special day!!!,midnight im outta happy mothers day fellow mommies nonmommies may everyone special day,1
"Home. Tired. Phone then bed.   Good night tweeters, happy mothers day!",home tired phone bed good night tweeters happy mothers day,1
Nothing exciting from me tonight....got some new toys to play with though  Happy Mother`s Day Ladies,nothing exciting tonightgot new toys play though happy mothers day ladies,1
Happy mothers day in 25 minutes everyone,happy mothers day minutes everyone,1
happy mothers day to my mom & all the other mommies / moms to be! have a qood one ladies,happy mothers day mom mommies moms qood one ladies,1
Happy Mothers Day to all you mothers out there!!  i love my mom! GOODNIGHT everyonee!! ?,happy mothers day mothers love mom goodnight everyonee,1
Missing my mother... t-11 days! HAPPY MOTHER`S DAY!!,missing mother days happy mothers day,1
I am off to bed now....my family has a wonderful day planned for me today      Happy Mother`s Day,bed nowmy family wonderful day planned today happy mothers day,1
wants to wish all the moms a Happy Mother`s Day.  Hope you`re all treated like Queens!,wants wish moms happy mothers day hope youre treated like queens,1
Happy Mothers Day  Breakfast With The Fam <33,happy mothers day breakfast fam,1
Happy Mother`s day to all the mom`s out there in twitter-land!,happy mothers day moms twitterland,1
 Happy Mother`s Day! Hope you have an awesome time with the Bug,happy mothers day hope awesome time bug,1
okay im happy again  i watched the second episode of jonas on youtube. i think tomorrow my family is going to olive garden for mothers day,okay im happy watched second episode jonas youtube think tomorrow family going olive garden mothers day,1
happy mothers day!!,happy mothers day,1
Mothers day today!,mothers day today,1
Happy Mother`s Day to all the Mom`s out there I happen to have the greatest Mom in the world  I love my Mom she`s my best friend,happy mothers day moms happen greatest mom world love mom shes best friend,1
Happy Mother`s day; God bless you & all mother`s worldwide; mother nature...  technology emotion in motion...,happy mothers day god bless mothers worldwide mother nature technology emotion motion,1
 happy mothers day to you as well!,happy mothers day well,1
" Hi Lisa, you have the most BEAUTIFUL pups! HAPPY MOTHERS DAY!2 Raven, Rio& Thors WONDERFUR mama!!  *kittykisses*",hi lisa beautiful pups happy mothers day raven rio thors wonderfur mama kittykisses,1
shoutout to all the beautiful moms out there that these niggas dont appreciate! some one cares Happy Mothers Day!,shoutout beautiful moms niggas dont appreciate one cares happy mothers day,1
Happy mothers day to all of you amazing moms!! Hope you have a wonderful day with your loved ones. You deserve it!!  You do a great job!,happy mothers day amazing moms hope wonderful day loved ones deserve great job,1
"o, and happy mothers day",happy mothers day,1
"Oh and PS. Since it is already 12:30, I should probably say 'Happy Mother`s Day' to my Mom and all the mothers out there!",oh ps since already probably say happy mothers day mom mothers,1
HAPPY MOTHER`S DAY !!,happy mothers day,1
"Happy Mother`s Day! Be sure to say I <3 you, Mum.",happy mothers day sure say mum,1
happy mothers day to all..,happy mothers day,1
", , , , i hope you all have a happy mothers day!",hope happy mothers day,1
Happy Mother`s Day to all of the mothers and mothers-to-be  My mom is getting a special gift from me today,happy mothers day mothers motherstobe mom getting special gift today,1
HAPPY MOTHER`S DAYYY!,happy mothers dayyy,1
is home whoott. Happy Mother`s Day Madre,home whoott happy mothers day madre,1
" Too easy! Happy Mother`s Day, to a great mom!",easy happy mothers day great mom,1
"Happy Mother`s Day to all the amazing women who put up with us crazy, demanding children. Thank you.  Very very much.",happy mothers day amazing women put us crazy demanding children thank much,1
happy mothers day to all moms out there!!,happy mothers day moms,1
"7 hours and many massages later, I can now spend time with my wife and son. It`s mother`s day ya`ll. Don`t forget to grab a gift or card.",hours many massages later spend time wife son mothers day yall dont forget grab gift card,1
HAPPY MOTHER DAY TO ALL THE MOTHER`S IN THE ENTIRE WORLD WE DESERVED A DAY JUST FOR US RIGHT...,happy mother day mothers entire world deserved day us right,1
Why is it that America celebrates mother`s day on a different day to England? Anyhooo...Happy Mother`s Day 2 All American Mumzys!  x,america celebrates mothers day different day england anyhooohappy mothers day american mumzys x,1
phillies gamee with mama for mothers day,phillies gamee mama mothers day,1
Happy Mother`s Day - Happy Motherï¿½s Day  http://tumblr.com/xnx1qyn0j,happy mothers day happy mothers day httptumblrcomxnxqynj,1
  Happy Mother`s Day to both of yall.  from me and my boys...,happy mothers day yall boys,1
HAPPY MOTHERS DAY  ASAP EVERYDAY!!!,happy mothers day asap everyday,1
Happy Mothers Day  All my love,happy mothers day love,1
"happy mother`s day, mommy! hope you will have a good day",happy mothers day mommy hope good day,1
Happy Mothers Day to all the Mommies!,happy mothers day mommies,1
Happy Mothers Day to all Mom`s,happy mothers day moms,1
The hair looks sicckkkk.  Happy mothers day to all the mothers!,hair looks sicckkkk happy mothers day mothers,1
" *hugs* love you, MamaBear!  Happy Mom`s Day!!!! (in case I don`t see you around tomorrow)",hugs love mamabear happy moms day case dont see around tomorrow,1
HAPPY MOTHER`S DAY TO ALL THE WONDERFUL MOTHERS IN THE WORLD!!! myself included...,happy mothers day wonderful mothers world included,1
Happy Mother`s Day to all the mothers out there! Do have a good and enjoyable day,happy mothers day mothers good enjoyable day,1
Mother`s Day is THIS Sunday.... don`t forget to send her something special  http://www.youtube.com/watch?v=ExpmTEVSFQg,mothers day sunday dont forget send something special httpwwwyoutubecomwatchvexpmtevsfqg,1
 hay naku!!madaya ka talaga ah hehe ..hey happy mothers day to your mom nga pala   and to your mom also,hay nakumadaya ka talaga ah hehe hey happy mothers day mom nga pala mom also,1
happy Mother`s Day to all the moms out there,happy mothers day moms,1
"Happy Mothers Day! Same day, more chocolate",happy mothers day day chocolate,1
Is it OK to send iFlowers to your mom for Mother`s Day trough this iPhone app? http://tr.im/kWnX,ok send iflowers mom mothers day trough iphone app httptrimkwnx,1
 OMG THAT`S AWESOME. this is the first time ever i`m not seeing it the day it comes out. Demi is taking over my day. haha,omg thats awesome first time ever im seeing day comes demi taking day haha,1
Happy mother`s day to all moms out there!  i just played tong-its a while ago.,happy mothers day moms played tongits ago,1
 happy mother`s day! you are beautiful.,happy mothers day beautiful,1
A very special HAPPY MOTHER`S DAY to all Mommies!,special happy mothers day mommies,1
Happy mothers dayyy all mothers especially mine,happy mothers dayyy mothers especially mine,1
"Happy Mother`s Day, Moms!!! You are wonderful!! Have a great day",happy mothers day moms wonderful great day,1
This is dedicated to all those moms out there - Happy Mother`s Day  ? http://blip.fm/~5z2g9,dedicated moms happy mothers day httpblipfmzg,1
Happy Mother`s Day Mommies,happy mothers day mommies,1
" I will, n btw happy mothers day sissy",n btw happy mothers day sissy,1
 hope you have a great day tomorrow!!  happy mothers day!  let us know what you did,hope great day tomorrow happy mothers day let us know,1
"done with the fkn exam! n just bought the mothers day gift, finally... tada! the new prada fragrance  going to meet up mum n fam now : ...",done fkn exam n bought mothers day gift finally tada new prada fragrance going meet mum n fam,1
happy mother`s day everyone,happy mothers day everyone,1
"fuckkk i need sleepppppppp lol, happy mothers day mummy",fuckkk need sleepppppppp lol happy mothers day mummy,1
"Took yesterday off & treated myself to an outfit & shoes, I have not treated myself in a while, my mothers day gift to me",took yesterday treated outfit shoes treated mothers day gift,1
having a great mothers day,great mothers day,1
OMJ JUSt qOt HOME fROM tHAt PARty! it`S 2:OO a.m! i`M MAN tiRED! GOODNiqHt AND HAPPY MOtHER`S DAY 2 ALL!!! tAkE CARE & GOD BlESS!,omj qot home party oo im man tired goodniqht happy mothers day take care god bless,1
I want to wish all the Mommy`s a happy mothers day!,want wish mommys happy mothers day,1
happy mothers day..,happy mothers day,1
A Happy Mother`s Day to all moms and soon to be mom`s out there.,happy mothers day moms soon moms,1
 - wait for the third day!!,wait third day,1
Happy Mother`s Day! It will be a good day,happy mothers day good day,1
happy mother`s dayy!!! to me andd the rest of the fabulous mommy`s out there,happy mothers dayy andd rest fabulous mommys,1
Happy Mother`s Day to all the mothers!!,happy mothers day mothers,1
mothers day..didnt do anything exciting...saw a movie,mothers daydidnt anything excitingsaw movie,1
"Happy Mothers Day to all that are, all that are trying, and all that haven`t nailed their teenagers to a tree",happy mothers day trying havent nailed teenagers tree,1
Happy Mother`s Day to all the mamas out there,happy mothers day mamas,1
   Happy mother`s day to your moms.,happy mothers day moms,1
happy mothers day x & go the dockers,happy mothers day x go dockers,1
Going I sleep today was a long day happy mothers day to all the moms out there,going sleep today long day happy mothers day moms,1
Ok all have hit the point of relaxation.. heading to bed  sleep well and Happy Mother`s day to all you Moms out there!! Night,ok hit point relaxation heading bed sleep well happy mothers day moms night,1
Mothers day in 45 minutes west coast time.  Happy Mothers Day to all the mothers out there,mothers day minutes west coast time happy mothers day mothers,1
Happy mother`s Day!!!! No gift to your mother can ever equal her gift to you - life,happy mothers day gift mother ever equal gift life,1
happy mother`s day to all the moms out there. i hope i never join that crowd,happy mothers day moms hope never join crowd,1
happy mother`s daaaaaaaaay,happy mothers daaaaaaaaay,1
Happy Mother`s Day to every single mom out there. I love my mommy,happy mothers day every single mom love mommy,1
The Veronicas are gonna rock the stage tomorrow  HAPPY MOTHER`S DAY EVERYONE!,veronicas gon na rock stage tomorrow happy mothers day everyone,1
Happy Mothers day  <3,happy mothers day,1
Goodnight!  Happy Mothers Day!,goodnight happy mothers day,1
" You got it! YAAAY!!! I was really worried your phone wouldn`t fit, so glad it does!  Happy Mother`s Day, lol!",got yaaay really worried phone wouldnt fit glad happy mothers day lol,1
Today I wrote two songs (one for temple which I will probably never perform ever) and one for mothers day. Happy vesak everyone  rena xoxo,today wrote two songs one temple probably never perform ever one mothers day happy vesak everyone rena xoxo,1
Happy Mother`s Day :] I lovee you mami,happy mothers day lovee mami,1
 Good morning David! Happy Mother`s Day to your mom lol. Too bad u can`t be with her. She is so awesome!,good morning david happy mothers day mom lol bad u cant awesome,1
: So wonderful to spend Mother`s Day with my mum.,wonderful spend mothers day mum,1
Listening to Lady Gaga... Relatives just left after our Mother`s Day celebration,listening lady gaga relatives left mothers day celebration,1
"Word to all those i call mom, and there are a lot of yall.. HAPPY MOTHERS DAY  i love you all!",word call mom lot yall happy mothers day love,1
wish all the mother in the flatworld have a happy & awesome mother`s day,wish mother flatworld happy awesome mothers day,1
Happy Mothers Day to all Mothers every where,happy mothers day mothers every,1
Wishing all the Mom`s in the world a VERY HAPPY AND RELAXING MOTHERS DAY. May you get to spend the day with your feet up being pampered,wishing moms world happy relaxing mothers day may get spend day feet pampered,1
Happy Mother`s Day to the tweetin` mamas  Nite tweeple!,happy mothers day tweetin mamas nite tweeple,1
"Repeat final seconds of Game 3 Dal-Den please! **** THOSE OFFICIALS. :| Anyway, happy mothers day.",repeat final seconds game dalden please officials anyway happy mothers day,1
happy mother`s to all the moms out there..,happy mothers moms,1
Happy Mothers Day to All the Mom`s out there!! We Love You!!!,happy mothers day moms love,1
Happy Hug Your Mom Day!! love you mom,happy hug mom day love mom,1
says again.. happy mothers day to all your moms  http://plurk.com/p/svdsh,says happy mothers day moms httpplurkcompsvdsh,1
Good Morning everybody and happy Mothers Day!!!!,good morning everybody happy mothers day,1
" Peace Bro, thanks for not just the music, but proudly representing as a father all over - Happy Mother`s Day",peace bro thanks music proudly representing father happy mothers day,1
Tired and gunna go to bed soon!!! First time I`ve been online today!!  All ready for mother`s day tomorow,tired gunna go bed soon first time ive online today ready mothers day tomorow,1
" Thanks hon, doing great and yourself? Happy Mothers Day",thanks hon great happy mothers day,1
TIRED! goodnight twitter  its mother`s day  happy mother`s day  lov my moomy <3 yayy! God Bless.,tired goodnight twitter mothers day happy mothers day lov moomy yayy god bless,1
 there`s nothing wrong with having a quiet day... it gives you more time to listen,theres nothing wrong quiet day gives time listen,1
Happy Mother`s day to MOMMY,happy mothers day mommy,1
Home at last HAPPY MOTHERS TO ALL THE MOTHERS Special thanks to my father he bought me tulips so did my princess  adult swim time (anime),home last happy mothers mothers special thanks father bought tulips princess adult swim time anime,1
"Christa`s Mothers Day card, deep in the build phase.   - Photo: http://bkite.com/07k6e",christas mothers day card deep build phase photo httpbkitecomke,1
Wishing everyone a Happy Mother`s Day.  xoxo,wishing everyone happy mothers day xoxo,1
Good Morning and Happy Mothers Day everyone,good morning happy mothers day everyone,1
Had a long day at work. Stood home. Now sleeping to have another long day at work tomorrow & happy mothers day to all mothers,long day work stood home sleeping another long day work tomorrow happy mothers day mothers,1
Happy Mother`s Day to all the American mamas!,happy mothers day american mamas,1
To all mothers in the world : happy mothers day,mothers world happy mothers day,1
happy mother`s day! I love you mama,happy mothers day love mama,1
Happy Mothers Day. Take ur mothers into a special place.,happy mothers day take ur mothers special place,1
 Happy Mothers Day! i hope tom got you something special! enjoy day!  xo,happy mothers day hope tom got something special enjoy day xo,1
Happy Mothers Day to Heidi Klum,happy mothers day heidi klum,1
Wishing all Mothers Happy Mother`s Day,wishing mothers happy mothers day,1
So grateful for my amazing family. How blessed am I. Happy Mothers day everyone,grateful amazing family blessed happy mothers day everyone,1
Happy Mother`s Day to all you mother`s in Twitterville!,happy mothers day mothers twitterville,1
Happy Mother`s Day to every mommy out there,happy mothers day every mommy,1
  Morning!  Happy Mother`s Day Miz!!!  Thank you Lance!!!!,morning happy mothers day miz thank lance,1
 happy mothers day ang,happy mothers day ang,1
" its not mothers day on the west coast, tyvm",mothers day west coast tyvm,1
Happy Mothers Day mom!  I love you!,happy mothers day mom love,1
