text,cleaned_text,labels
"i wanna do something tonight, but that doesnt look very promising",wan na something tonight doesnt look promising,1
Guess I have to go back and scrape out the oven now. Blerg,guess go back scrape oven blerg,1
Happy star wars day everyone,happy star wars day everyone,0
Friday!!!!!!!!!! Wooo and nothing to do.  Nuggets better pull it off tonight.,friday wooo nothing nuggets better pull tonight,1
Having a pj dayy.....Doesnt happen veryy often,pj dayydoesnt happen veryy often,1
" You`re welcome. I`m going to repost several times to get the message out, maybe help another dog",youre welcome im going repost several times get message maybe help another dog,2
no so sad about that  i`m from MALTA have you heard about it ?,sad im malta heard,1
 me too,,1
  Enjoy...wish I was there! Nice day in Springfield today..however I have my end of month expense report to do,enjoywish nice day springfield todayhowever end month expense report,1
 oh no!  i`m sorry. at least you`ll still be able to buy regular tickets and not worry about limits?,oh im sorry least youll still able buy regular tickets worry limits,1
" haha that was good, slightly geeky but funny  x",haha good slightly geeky funny x,1
I have a license and a car..at least for now.,license carat least,1
 say hello to Marina Green ... couldn`t participate in Barcelona this weeken,say hello marina green couldnt participate barcelona weeken,1
 I hope it`s something relatively minor and easy to heal. I can`t stand it when the furbabies get sick.,hope something relatively minor easy heal cant stand furbabies get sick,1
"Oh, I`ve just watched the third episode of JONAS, it`s awesome.",oh ive watched third episode jonas awesome,1
wants to go out tonight but cant get home,wants go tonight cant get home,1
 i love Paramore!  welcome back,love paramore welcome back,1
"_DAHSAR Thanxs hun, you too!",dahsar thanxs hun,1
@_NewAmerykah_ im alllllllllllllllllllllllllllll about that... a **** woke up late... didnt get my breakfast (wakenbake),newamerykah im alllllllllllllllllllllllllllll woke late didnt get breakfast wakenbake,1
" Fun to read, thanks! You Brits make things interesting  Funny they whittled 33 saints days to four,... http://ff.im/-2zgfk",fun read thanks brits make things interesting funny whittled saints days four httpffimzgfk,1
you forgot your fans too!  haha,forgot fans haha,1
 I know but unfortunately I`m one of the fifteen bazillions of Americans without health insurance.  awesome,know unfortunately im one fifteen bazillions americans without health insurance awesome,1
Just got finished cleaning and putting out my mom`s presents.  Happy mother`s day. I`m going to sleeeeep.,got finished cleaning putting moms presents happy mothers day im going sleeeeep,0
Getting to play golf with our kickin` Leadership Team...I have a feeling they r gonna kick me on the golf course,getting play golf kickin leadership teami feeling r gon na kick golf course,1
http://bit.ly/LaZEL  Wow Christian Lacroix bankrupt.. sad,httpbitlylazel wow christian lacroix bankrupt sad,1
 ia so much! i haven`t really been happy with any of cooks choices for singles.,ia much havent really happy cooks choices singles,1
good 1km visible shot of TD one shows total decoupling of the low and mid level centers....this system is DEAD!! Waiting for the next one,good km visible shot td one shows total decoupling low mid level centersthis system dead waiting next one,1
Goingg to school today,goingg school today,1
Cleaned out my Followers List and blocked the **** girls & **** Now I look like a spammer,cleaned followers list blocked girls look like spammer,1
Watching the 3rd episode of JONAS,watching rd episode jonas,1
Jogged in the forest with Nina. Heavy wind reminded I need to set up some turbines: free electricity.,jogged forest nina heavy wind reminded need set turbines free electricity,1
awww i`ve lost a follower i fail,awww ive lost follower fail,1
so sad that no friends everyday for a long **** time,sad friends everyday long time,1
In 1 horse town + 2 blown out car speakers =,horse town blown car speakers,1
watching chicago.  honeyyyy im with you I miss me some hey arnold! and wild thornberrys,watching chicago honeyyyy im miss hey arnold wild thornberrys,1
pool is still closed  and it is cloudy. what should i cook tonight?,pool still closed cloudy cook tonight,1
 do u ever answer ur fans on here?? i wish u would. i have a question i`ve been wanting to ask u for months,u ever answer ur fans wish u would question ive wanting ask u months,1
_B all the shows are sold out  so I have to wait til tomorrow or sunday...,b shows sold wait til tomorrow sunday,1
soooo sunburnt  my mum was out earlier so i had to wait for her to get in and fell asleep on the trampoline for 2 hours in the sun (U),soooo sunburnt mum earlier wait get fell asleep trampoline hours sun u,1
"Or this, for that matter: http://bit.ly/SS6Yp  So jealous.",matter httpbitlyssyp jealous,1
It`s STILL not working!! Why not!! This is FRUSTRATING!!!,still working frustrating,1
has has an ok day with jo. She bit me and now its bruised.,ok day jo bit bruised,1
" thanks  i have to finish schoolwork today, no rehearsal tonight though. what ru doing?",thanks finish schoolwork today rehearsal tonight though ru,1
isnt going to the movies!! i got grounded,isnt going movies got grounded,2
" `erocka the ruler` i called you, but i see i gets the no love   whats up with that?",erocka ruler called see gets love whats,1
"i miss him  ALOT but im not gonna talk to him, i HOPE",miss alot im gon na talk hope,1
its my last friday of my high school years!,last friday high school years,1
" ohh, i`m watching my best friend`s wedding. it`s so sad..",ohh im watching best friends wedding sad,1
On tha` bus,tha bus,1
 This is truly enlightening for me,truly enlightening,1
" thanks, I deserve it.",thanks deserve,1
_bree say hi to the otters! They are my favorite- besides the fact they are slowly killing themselves with each shell they open.,bree say hi otters favorite besides fact slowly killing shell open,1
"  he should be an honourary fluffette, such lovely hair (what`s left  )",honourary fluffette lovely hair whats left,1
Home from China & back to work,home china back work,1
  Scrub and moisturize... doesnt even sounds like `showering`... maybe u should be inclined to follow me en. rephael,scrub moisturize doesnt even sounds like showering maybe u inclined follow en rephael,1
http://twitter.com/djc_yana ~ yeah. haha! why?,httptwittercomdjcyana yeah haha,1
Michael Cera has a new movie!,michael cera new movie,1
"No school, again. This time cuz im sick.",school time cuz im sick,1
Omg! Really? I just ran into a wall,omg really ran wall,1
Got into the show early. Jackson`s chillen. Lil shorty,got show early jacksons chillen lil shorty,1
 Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad,know shortage shells crabs use beach due beach combers sad,1
  it sucks no matter where you are! I`m gonna freakin be late for work!,sucks matter im gon na freakin late work,1
 I do! But I have to go to a dang wedding in madison,go dang wedding madison,1
 ha... I thought you would enjoy the Family Guy reference... and I`m more bored than you,ha thought would enjoy family guy reference im bored,1
"is abit happier at the thought that Ashleigh & Loocie with be here soonish, but sad to miss her S-ane  ;)",abit happier thought ashleigh loocie soonish sad miss sane,1
I feel like I`m going to toss my cookies,feel like im going toss cookies,2
 hope you had a FAB time!!! Just saw your twitpics ... Love that you wore THE dress. Great pic of D too,hope fab time saw twitpics love wore dress great pic,1
shakalohana week two of flat wavez no surfin,shakalohana week two flat wavez surfin,1
 Cool Guide.. My best Tip.. Do NOT Use Them Unless Absolutely Needed !!!,cool guide best tip use unless absolutely needed,1
My best friend is coming!excited,best friend comingexcited,1
 Yep- same here. I have to be in the mood 4 it.,yep mood,1
" T, im sooooo bored right now",im sooooo bored right,1
 Sis...I dont think I will be up 4 2nite sadly  Im in alot of pain 2day & had bad nite...can we go out anotha week soon?****,sisi dont think nite sadly im alot pain day bad nitecan go anotha week soon,1
THIS twitter is driving me nuts...WONT LET ME DOWNLOAD A PROFILE PIC!! ...guess i`ll keep trying!!,twitter driving nutswont let download profile pic guess ill keep trying,1
"reaons not worth it; drunk for no reason, depressed about revision, nothing happened. Reason`s worth it:Matt, ...after that? i dunno",reaons worth drunk reason depressed revision nothing happened reasons worth itmatt dunno,1
Twitter is slowing me down today.,twitter slowing today,1
 say a hi to me tom  please please,say hi tom please please,1
 Thought you might be interested in  http://tweetphoto.com. See who`s viewing your photos!,thought might interested httptweetphotocom see whos viewing photos,1
Sitting with sabbeth in first period.  buhahaha we are so cool -sabbeth lmao,sitting sabbeth first period buhahaha cool sabbeth lmao,1
Chicago rocks my socks,chicago rocks socks,1
" What you said about aj made no sense,hahaha. What were you talking about? And I loved that picture of you and colin!",said aj made sensehahaha talking loved picture colin,1
Listening to Hey Zulu - Red n` Meth. Sux to be at work right now,listening hey zulu red n meth sux work right,1
"I did the dishes and I`m now on a train to Newcastle. Have to leave #nontweetinggirlfriend behind for 2 weeks, which is always a bit sad",dishes im train newcastle leave nontweetinggirlfriend behind weeks always bit sad,1
 that and being so careless with her vocals.,careless vocals,1
Really really cant sleep  x,really really cant sleep x,1
at panera for lunch  byyy myself  aww,panera lunch byyy aww,1
On the way to sthlm - it will maybe be a movie   // cool http://gykd.net,way sthlm maybe movie cool httpgykdnet,1
@_catchfire Happy Birthday Chip`s sister,catchfire happy birthday chips sister,1
whew finally got in to RC..,whew finally got rc,1
"****, my photo is gone!",photo gone,1
 this is sounding like the worst lurgy ever - the one that just won`t go away ..  ...are you ready for end-of-rope action yet??,sounding like worst lurgy ever one wont go away ready endofrope action yet,1
 I AM A CHILD OF THE DIGITAL AGE I USE TWITTER TO ASK SUCH QUESTIONS do not bring logic into this,child digital age use twitter ask questions bring logic,1
Yayz! Today`s is the day I call and see if I got that job! x3 I ish so happy... even though I slept horribly... So I`m kinda drained...,yayz todays day call see got job x ish happy even though slept horribly im kinda drained,1
"just tried talking........voice died before end of sentence! Annpyimg thing id, i feel fine!! Another day of not playing the hits",tried talkingvoice died end sentence annpyimg thing id feel fine another day playing hits,1
 lol yeah I guess you have a point,lol yeah guess point,1
i have a headache,headache,1
 http://twitpic.com/4jam0 - better lighting would have enhanced the photo... nice angle though...,httptwitpiccomjam better lighting would enhanced photo nice angle though,1
May the 4th be with you. Happy Star Wars Day!  http://ow.ly/52Aw,may th happy star wars day httpowlyaw,0
 lol to see my king,lol see king,1
" Oh, I see. Daily life shots? It`ll be interesting as well.",oh see daily life shots itll interesting well,1
 - Woo! Great subject for this month. Now I can use my sparklers,woo great subject month use sparklers,1
"Marley won`t watch the French Open unless it`s in HD, which it`s not...   But my latest political ad is: http://tinyurl.com/lvsn76",marley wont watch french open unless hd latest political ad httptinyurlcomlvsn,1
 any gear you don`t use anymore and want to throw away?,gear dont use anymore want throw away,1
Happy its the weekend...LOVE has knocked me down ya`ll!!!,happy weekendlove knocked yall,1
"_shantz heyy shantell!  twitter is cool, thats why! and guess what!! i followed britney spears, and she followed me back!",shantz heyy shantell twitter cool thats guess followed britney spears followed back,1
" Aw, sorry ur day sucked!  Did u see my post abt car issues? LOL I think it`s safe to say it can only get better tho. Beer-thirty?",aw sorry ur day sucked u see post abt car issues lol think safe say get better tho beerthirty,1
" dont worry, i will. i HATE it when nobody comments on my pics",dont worry hate nobody comments pics,1
: Oh its begun long before this!,oh begun long,1
 that`s what i was last night,thats last night,1
 do it and I`ll give you the first hug,ill give first hug,1
"Is so freaking bored on the bus. Hate being poor, ï¿½4.80 return for a 10 min train or ï¿½2 return for an HOUR long bus.ipod has no battery 2",freaking bored bus hate poor return min train return hour long busipod battery,1
_Nessiah Yeah I will  In fifteen minutes or so.,nessiah yeah fifteen minutes,1
 I don`t like the term 'partner' when it comes to relationships. It`s too business like so that`s my ugly word of the day,dont like term partner comes relationships business like thats ugly word day,1
"The top 5 words I`ve tweeted: hug, good, people, fun, twitter. http://tinyurl.com/dcxoty ... that`s really quite nice",top words ive tweeted hug good people fun twitter httptinyurlcomdcxoty thats really quite nice,1
" At least you have a large vocabulary -- the benefit of being a writer   Hope you`re well, sister.",least large vocabulary benefit writer hope youre well sister,1
 I want to play,want play,1
 thanks! You`re the first one to wish me a happy mother`s day,thanks youre first one wish happy mothers day,0
im the only ho that didnt go to tigerheat tonite,im ho didnt go tigerheat tonite,1
" LOL! I liked the log ride reference, but all I think about when I think of that ride is how wet you get",lol liked log ride reference think think ride wet get,1
tired as hell!!!! bed time from cara  nighty night twitter world..,tired hell bed time cara nighty night twitter world,1
On duty in the students union with only 3 punters. There are more of us here than members of the public,duty students union punters us members public,1
 i dunno what i`m gonna do. i love my skinny jeans!,dunno im gon na love skinny jeans,1
_avenue Love your website! Wish I lived closer to sample the cupcakey treats,avenue love website wish lived closer sample cupcakey treats,1
I always get really excited when `Steal My Kisses` by Ben Harper comes on the ipod...great song...love the beat-boxing in the beginning,always get really excited steal kisses ben harper comes ipodgreat songlove beatboxing beginning,1
 may the 4th be with you,may th,1
_stack8 mady were did u go?  truck did u run away?,stack mady u go truck u run away,1
 Yep: http://bit.ly/15yyId  We go there for Christmas treats!,yep httpbitlyyyid go christmas treats,1
"John, are you sure we aren`t mtb?",john sure arent mtb,1
 angels even though I`m probably not the third... ANGELS AND DEMONS,angels even though im probably third angels demons,1
"just camee back from bowling, which i offiacial suck at",camee back bowling offiacial suck,1
Ugh! Plane delayed due to weather!  Stuck with another hour to kill.  http://twitpic.com/67xs0,ugh plane delayed due weather stuck another hour kill httptwitpiccomxs,1
I`m going to try & get some sleep. I got work mostly all day & I`m training for bakery also. Glammyyy crocker on deck. Lmao. Text or call,im going try get sleep got work mostly day im training bakery also glammyyy crocker deck lmao text call,2
"2,697 views on my FLickr Account.. Maybe is not much for you...  but I`m happy  ... YAY http://www.flickr.com/photos/bonassin/",views flickr account maybe much im happy yay httpwwwflickrcomphotosbonassin,1
Watching Ripley`s Believe it or Not while eating=bad choice,watching ripleys believe eatingbad choice,1
Watched the White House dinner speech by Barack. He`s just so many kinds of awesome!,watched white house dinner speech barack hes many kinds awesome,1
i m totally confused and bored.. my life must change!!,totally confused bored life must change,1
 That`s the problem. DNS isn`t working  uTorrent and DestroyTwitter are working while everything else is down.,thats problem dns isnt working utorrent destroytwitter working everything else,1
"Watching 'All the Kings Men', It be pretty good so far!",watching kings men pretty good far,1
 I ALWAYS miss out! I wont be able to commence in the foolishness til` the fall  But come fall I`ll be visiting!! YAY!!,always miss wont able commence foolishness til fall come fall ill visiting yay,1
"_dee yeah, i bought some when I was making those crispy waffles",dee yeah bought making crispy waffles,1
 http://twitpic.com/4uy8l - LOL  why are they drumming there?,httptwitpiccomuyl lol drumming,1
: more interested in watching SNL for Ciara than Justin Timberfake,interested watching snl ciara justin timberfake,1
Ok just woke up and need to get ready before a day of getting twitterena 2.1 submitted!,ok woke need get ready day getting twitterena submitted,1
"Starting my internship today, pretty excited!",starting internship today pretty excited,1
Tempted to buy MAC at ACW....even though I don`t need anything....but I want to try dazzleglasses,tempted buy mac acweven though dont need anythingbut want try dazzleglasses,1
night night twitter world. [still cant believe the thomas thing  tomorrow`s gunna be FUN/SAD],night night twitter world still cant believe thomas thing tomorrows gunna funsad,1
Is eating BBQ Jalapeno Torta Subway from Los Chaparros right next door..,eating bbq jalapeno torta subway los chaparros right next door,1
I need to memorize julius caesar lines,need memorize julius caesar lines,1
" music is always there when noone else understands  i agree it`s very important, a single song can change your whole day",music always noone else understands agree important single song change whole day,1
" but have you got , and twitted a link to it. No? Fail.",got twitted link fail,1
Bored and lonely at work,bored lonely work,1
 i`m afraid im def. a product of the NRI Karan Johar generation- I`ve been watching a lot of classics this semester,im afraid im def product nri karan johar generation ive watching lot classics semester,1
just got home from doing the big shop totally munched out because i was so starving and im at weigh in in the morning oops,got home big shop totally munched starving im weigh morning oops,1
 audiotistic! sneak your little butt in,audiotistic sneak little butt,1
 lol. your tweets are always fun to follow  Never a dull moment with the Kulps!,lol tweets always fun follow never dull moment kulps,1
 miss you,miss,1
_Hall Is that why you aint answer my call? Thought we were homies!?,hall aint answer call thought homies,1
tired as ****. it`s pissing down with rain. i miss summer,tired pissing rain miss summer,1
 Do you not like turtles?,like turtles,1
"Photo: Got my prints a few days ago, ready for the NorskArt exhibition  http://tumblr.com/xht1phgl3",photo got prints days ago ready norskart exhibition httptumblrcomxhtphgl,1
"Hey,  Thank you SO much for the #followfriday. I failed miserably to get a list together this week",hey thank much followfriday failed miserably get list together week,1
Thanks so much to everyone who came out to Speakeasy last night! What a hit. Wonderful to see you all having fun! June will be awesome.,thanks much everyone came speakeasy last night hit wonderful see fun june awesome,1
" Also it has a dense treatment of CPS and Continuation based Interpreter design, which is not there in SICP. Good to have both",also dense treatment cps continuation based interpreter design sicp good,1
"nervous about going out tomorrow, cos its the first time since my daughter was born, she`s 2!!! HELP",nervous going tomorrow cos first time since daughter born shes help,2
starting to pack stuff up,starting pack stuff,1
 Omg same here! They hurt so much,omg hurt much,1
"Spiderwoman! She`s an amazing mum, gr8 blogger, gr8 mentor & on top of that climbs walls!  http://digg.com/d1qEua -via ",spiderwoman shes amazing mum gr blogger gr mentor top climbs walls httpdiggcomdqeua via,1
Wedding anniversary meal yest. - first 5* proper meal out with wife since Rohan born. She did well and only checked her phone 80 times,wedding anniversary meal yest first proper meal wife since rohan born well checked phone times,1
 i wish you could come to Swindon...2 hours away...its my dream to meet you  xoxo,wish could come swindon hours awayits dream meet xoxo,1
not doing relay  oh well.,relay oh well,1
jolly good last night,jolly good last night,1
 Is it possible to a have phobia of phobias? Afraid to look at list.,possible phobia phobias afraid look list,1
needs some snuggle time....  but has to get through the work day first.  Boo.,needs snuggle time get work day first boo,1
saw a dead bird on my way to work!what a kind of day to start?! Poor little bird!,saw dead bird way workwhat kind day start poor little bird,1
well.. all my slacking off earned me a D and a C   but at least everything else are A`s and B`s ^^  next school year all B`s and A`s Esh!,well slacking earned c least everything else bs next school year bs esh,1
 aww i`m sorry   glad mommy took care of you. erin is in for some fun if there`s a bug on you in colorado,aww im sorry glad mommy took care erin fun theres bug colorado,1
hello twittttty world! how do you do?,hello twittttty world,1
"On the way to Wildomar, CA towing the Lexus",way wildomar ca towing lexus,1
_y_Tony Hey,ytony hey,1
Goodnight peoples!,goodnight peoples,1
 cool  that`s good. You back on trains for a while?,cool thats good back trains,1
Poor baby`s got his first booboo  that he caused himself LOL  http://twitpic.com/673vt,poor babys got first booboo caused lol httptwitpiccomvt,1
 We said anyone could 'write one'...those special 10 selected are - of course - chosen because they are OUTSTANDING!,said anyone could write onethose special selected course chosen outstanding,1
 will the presentations be available online during the meeting?  The poster discussants are going so fast I can`t write fast enough,presentations available online meeting poster discussants going fast cant write fast enough,2
" Like the Simpsons? That`s like asking, 'so you like breathing?'",like simpsons thats like asking like breathing,1
"getting ready to start my work week, it`s so not TGIF for me!! It`s monday",getting ready start work week tgif monday,1
" lol, wen my mum used to take me as a kid, i wud always eat the bread instead! haha.",lol wen mum used take kid wud always eat bread instead haha,1
Happy Mothers Day to all the mom`s around  Hope you have a wonderful day!,happy mothers day moms around hope wonderful day,0
@_supernatural_ more Demon Sam!! I need it to numb the pain  ****,supernatural demon sam need numb pain,1
" No prob, skittles we always gonna have yall`s backs. The true sweeties dont play.. LOL But yea we just got heated. We sry",prob skittles always gon na yalls backs true sweeties dont play lol yea got heated sry,1
" it was a lonely battle, my friend, but you fought valiantly!",lonely battle friend fought valiantly,1
hope`s she see her bestie today,hopes see bestie today,1
  haha ...i`ll let you know how the show was ... hope here in romania they will show it on Mtv.Sunday morning I have an exam,haha ill let know show hope romania show mtvsunday morning exam,1
GOOD MORNING TWEETER WORLD!,good morning tweeter world,1
"  Sadly not, no. They`re his colleagues and it`s a work party",sadly theyre colleagues work party,1
Its summer and no one has texted/called me. Im a loner,summer one textedcalled im loner,1
 eeeeeeeeeeeeee i jealous sia i didnt get to seee,eeeeeeeeeeeeee jealous sia didnt get seee,1
 she is that`s why she never speaks to me in college i think  .....i might just stick to unzela...if hashim dosnt shoot me,thats never speaks college think might stick unzelaif hashim dosnt shoot,1
i`m so tired  of being sick ALL the time!!!!,im tired sick time,1
"Bank Holiday Bliss - Jeremy Kyle, without even bothering the Sky+",bank holiday bliss jeremy kyle without even bothering sky,1
 xD send it!,xd send,1
...No more adventure time,adventure time,1
i have sore throat. that`s suck.,sore throat thats suck,1
  no FF tweet for me?,ff tweet,1
Haha how exciting  wat does it look like?!,haha exciting wat look like,1
My whole body back pain treatment and detox starts Monday. Not looking forward to a summer of hot yoga and healthy food.,whole body back pain treatment detox starts monday looking forward summer hot yoga healthy food,1
 so you are like the rest of us on this miserable bank holiday.then LOL,like rest us miserable bank holidaythen lol,1
  do you know if anyone from the believers never die tour is going on warped? i know  i can`t wait haha,know anyone believers never die tour going warped know cant wait haha,2
back to my interesting emails...,back interesting emails,1
Not eating funnel cake at Mag Fest is what I am doing,eating funnel cake mag fest,1
L.A. said 'wipe the slate clean' before the jelly!,la said wipe slate clean jelly,1
First Day at the new job! Yeah!,first day new job yeah,1
We`re going to panahra for dinner.  miss you guys.,going panahra dinner miss guys,2
Happy Mothers Day to all your moms!,happy mothers day moms,0
" Oh, that`s bringing back fond memories... I WANT to, but I can`t leave the kittens! (I sent you another pic of Balloon)",oh thats bringing back fond memories want cant leave kittens sent another pic balloon,1
 Thanks for the concern. And checking up on me! Much appreciated,thanks concern checking much appreciated,1
"Happy Mother`s Day to all mothers out there!  I am not one myself, but I have been called something along those lines",happy mothers day mothers one called something along lines,0
  Those dog pic had me  ROLF!  The one  with the snow stuck too it  has that 'if looks could kill look' way funny,dog pic rolf one snow stuck looks could kill look way funny,1
" Oh ****, happy late birthday! (my txt didn`t send  )",oh happy late birthday txt didnt send,1
" LMAO shush. with my illness comes the joys of multiple mouth ulcers, and i think they are coming back  they JUST healed",lmao shush illness comes joys multiple mouth ulcers think coming back healed,1
Back from uminaa,back uminaa,1
"math is all that is left for the day, then the DMV",math left day dmv,1
stood for 4 hours in heels. all for looks and to b able to look over tall people.,stood hours heels looks b able look tall people,1
 you did not write back to me,write back,1
Me and my son just got up.  He sure does love the morning time.  I KNOW he did not get that from me.,son got sure love morning time know get,1
welcome  ! since it seems you`re interested in cheese I hardly suggest you to follow  too,welcome since seems youre interested cheese hardly suggest follow,1
 Cheers *lifts coffee cup* here here for Mondays,cheers lifts coffee cup mondays,1
"pop, idk how to reply to ur tweet from my phone  lol but yeah my bday is in a few days. soooo excited!",pop idk reply ur tweet phone lol yeah bday days soooo excited,1
 girl u sit ya double decker neck **** DOWN and talk about ppl who are on ur LEVEL and not above,girl u sit ya double decker neck talk ppl ur level,1
_mcflyandjb its okay!!!  x,mcflyandjb okay x,1
"haven`t twittered in forever. yeah, just had my sixteenth birthday party tonight",havent twittered forever yeah sixteenth birthday party tonight,1
 Yikes!  I hope she was okay.  I never her heard her say her tummy hurt.,yikes hope okay never heard say tummy hurt,1
Happy Mother`s Day!  http://tinyurl.com/re74xc,happy mothers day httptinyurlcomrexc,0
 Great to meet you! Thanks for the use of your umbrella...I hope you ate and got some sleep!,great meet thanks use umbrellai hope ate got sleep,1
.. good morning peoplee  looks like it`s going to be a nice day today! better than last week it was raining =(.,good morning peoplee looks like going nice day today better last week raining,2
_INTHEMAKING :aw,inthemaking aw,1
": Omg! I never got your message so I didn`t notice until I was looking back a ways! Sorry, that was a good idea though...lol",omg never got message didnt notice looking back ways sorry good idea thoughlol,1
 and jarita i`m going home now and i`m with two hot guys  drool.,jarita im going home im two hot guys drool,2
Watching 'Hostage'! Also got an idea for that animation i`m making. Hope to have it ready and post a link here by the fifth of June,watching hostage also got idea animation im making hope ready post link fifth june,1
I missed the bl***y bus!!!!!!!!,missed bly bus,1
 I took my ring out...,took ring,1
Which would be a lot easier to get if plane tickets to AZ didnt raise $80 in price,would lot easier get plane tickets az didnt raise price,1
 morning ashleighhh  x,morning ashleighhh x,1
 i dedicated that song to my VW when i sold it,dedicated song vw sold,1
 not a fan,fan,1
New baby doing well.  I will be attempting to do some more 'painting' this weekend.,new baby well attempting painting weekend,1
 thank you,thank,1
 hope y`all enjoy the MusicBoat Cruise.  What a tough job - haha!!!,hope yall enjoy musicboat cruise tough job haha,1
 LOL freakinggg I worse a lookse shirt and shorts and sandals and it looks like its gonna rain outside  boo yahoo wearther,lol freakinggg worse lookse shirt shorts sandals looks like gon na rain outside boo yahoo wearther,1
 oh wow THANKS Wayne,oh wow thanks wayne,1
omg...did I just see a tweet from Miss Bonnie??? amazing...my phone died yesterday...and oster has alltel  I miss you,omgdid see tweet miss bonnie amazingmy phone died yesterdayand oster alltel miss,1
HAPPY MOTHERS DAY TO ALL THE MOTHERS OUT THERE!!!!!!!,happy mothers day mothers,0
TGIF!! But I have so much work to do this weekend,tgif much work weekend,1
"driving home,Iï¿½m so tired,had a bad day",driving homeim tiredhad bad day,1
Today = marking *135,today marking,1
: to triste,triste,1
ScREW MY PHONE. ITS BROKEN. DONT BOTHER TEXTING.,screw phone broken dont bother texting,1
Visiting family in hospital = not fun,visiting family hospital fun,1
Dinner and A Movie with the Hubby,dinner movie hubby,1
have yet to start this paper due tonight. i have no motivation,yet start paper due tonight motivation,1
" Thanks. I am greedy, looking for a full fledged widget (a la twitter) so I can like and share from within NV. 2 much to expect?",thanks greedy looking full fledged widget la twitter like share within nv much expect,1
 Very excited as we have just booked tickets to Vegas (we live in the UK) can`t believe the  price of the show tickets,excited booked tickets vegas live uk cant believe price show tickets,1
 lol   the things u gotta do sometimes man smh lol,lol things u got ta sometimes man smh lol,1
 Tracky Daks are one of the only good things about the weather getting colder. That and porridge. I just did both,tracky daks one good things weather getting colder porridge,1
Less than 24 hrs until GRADUATION!!! Going out tonight to celebrate,less hrs graduation going tonight celebrate,2
"Legend of Inotia ??????? ??????. ?????? ???????. ???? ??????? 31? ?????, ????? ?????? ???. ????????? ???? ?????? ????? ??????? ??????????",legend inotia,1
" that`s half the solution, it doesn`t address the intrusion into the link-sharing process, but thanks",thats half solution doesnt address intrusion linksharing process thanks,1
I need to burp ....  Im so nauseas....,need burp im nauseas,1
not so good mood..,good mood,1
 take a medicine,take medicine,1
 Joe`s version is pretty but it`s a sleeper.  Shouldn`t be played at 1am.,joes version pretty sleeper shouldnt played,1
I`m going to bed ....it`s weird the 1st time in a long time.. He didn`t call and say goodnight  ... Ima lil curious,im going bed weird st time long time didnt call say goodnight ima lil curious,2
I lost my voice,lost voice,1
At work sick  but I`m ok to the mall!,work sick im ok mall,1
I wanna go see the cab really bad.,wan na go see cab really bad,1
  really? ur a brave lady walkin around those lions then.  any other book suggestions?,really ur brave lady walkin around lions book suggestions,1
" Unfortunately, no.",unfortunately,1
"has got my xbox back  , i have a really sore knee cant walk",got xbox back really sore knee cant walk,1
I don`t think so  what time are we leacing,dont think time leacing,1
 was there going to be a recording of with the needle that stings in her heart on youtube or something? i missed the stream,going recording needle stings heart youtube something missed stream,2
" lucky you, all we`ve had is rain in the city today  enjoy! ;)",lucky weve rain city today enjoy,1
so bored. nothing to do,bored nothing,1
This song is a slap on you face!!  ? http://blip.fm/~5jib6,song slap face httpblipfmjib,1
" naw, it doesnt match up LOL and i have no shenanigans to discuss...  but i did do the thing...",naw doesnt match lol shenanigans discuss thing,1
 what you took your bracket off... ? And now it`s time for bed !,took bracket time bed,1
 how come  its for us now to win ms twitter world.is it not working for you ?,come us win ms twitter worldis working,1
 that sucks!  how old are you actually?,sucks old actually,1
Get: 'Fightstar - Mercury Summer' here: http://tinyurl.com/dbm4n6 from: http://tinyurl.com/cnkhev  #musicmonday #freemusic,get fightstar mercury summer httptinyurlcomdbmn httptinyurlcomcnkhev musicmonday freemusic,1
"well no phone today, we are waiting till June 9th to get a better deal sooooo  but its all good",well phone today waiting till june th get better deal sooooo good,1
home from the beach and only my feet are burned. i am proud of myself and the sunscreen.,home beach feet burned proud sunscreen,1
I love those creditcard-sized memory sticks. And Microsoft keeps sending them to me,love creditcardsized memory sticks microsoft keeps sending,1
"missing my hobo/****/tramp way of life, and cooking for my mother on a saturday night  MAMA I LUV U",missing hobotramp way life cooking mother saturday night mama luv u,1
Watching Miley Cyrus on youtube!,watching miley cyrus youtube,1
To eat or not to eat? Its gonna be my last meal for the next 2 weeks.,eat eat gon na last meal next weeks,1
"Ach I`m back on t`internet, and  has to go drive her mate somewhere so is w`out internet",ach im back tinternet go drive mate somewhere wout internet,1
Working on some Product Buzz (product reviews) for the blog... have a pain in the back of my neck,working product buzz product reviews blog pain back neck,1
Should I say goodnight or good morning?,say goodnight good morning,1
"Heading to the gym.  The group of guys that USED to go with me has all quit...well, except for Brandon.   Makes me terribly sad",heading gym group guys used go quitwell except brandon makes terribly sad,1
 Also ,also,1
 _lord Can`t we just all get along?,lord cant get along,1
Happy Mother`s Day to all you tweeting mothers,happy mothers day tweeting mothers,0
" - l`d come if u could, but Australia is just too far away",ld come u could australia far away,1
 yessssss wore myself out this weekend planting my garden and working,yessssss wore weekend planting garden working,1
"Eh, I`ve had better. I`m excited to see ryan hurley tomorrow",eh ive better im excited see ryan hurley tomorrow,1
_Toni   i`m having one of those days today also,toni im one days today also,1
